,X,swadesh.english,swadesh.language,swadesh.handshape,swadesh.twohands,swadesh.handpart,swadesh.poa,swadesh.bodypart,swadesh.pmv,swadesh.mmv,swadesh.mmvrepeated,swadesh.dmvhandshape,swadesh.dmvorientation,swadesh.compound,swadesh.shape,swadesh.domhand,swadesh.ndhandshape,swadesh.chandshape,swadesh.twohandsC,swadesh.poac,swadesh.bodypartc,swadesh.pmvc,swadesh.mmvc,swadesh.mmvcrepeated,swadesh.dmvchandshape,swadesh.dmvcorientation,HScollapsed,poabodypartmerge
420,420,full,Spanish,S_b,false,back_of_fingers,NA,Hand,Y_up,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y0,Hand
421,421,good,Spanish,E_b,false,tip,NA,Head,Y_down,straight,false,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
422,422,grass,Spanish,V,false,radial_side,NA,Head,Y_up,straight,true,false,false,true,UNDEF,right,UNDEF,4,false,UNDEF,forearm_ulnar,X_right,straight,false,true,false,n2,Head
423,423,grease,Spanish,E_b,false,tip,NA,Hand,Z_back,straight,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Hand
424,424,green,Spanish,V,false,radial_side,NA,Hand,UNDEF,UNDEF,true,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n2,Hand
425,425,heavy,Spanish,5,true,back_of_palm,Horizontal,NA,Y_down,straight,true,true,false,false,UNDEF,right,5,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
426,426,how,Spanish,1_nb,false,radial_side,NA,Head,UNDEF,UNDEF,true,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Head
427,427,husband,Spanish,I,false,finger_fronts,NA,Hand,Y_down,straight,false,false,false,true,UNDEF,right,UNDEF,A,false,UNDEF,forehead,UNDEF,UNDEF,true,false,true,n1,Hand
428,428,ice,Spanish,E_b,false,tip,NA,Head,Z_front,straight,false,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
429,429,if,Spanish,4_nb,false,tip,NA,Head,UNDEF,UNDEF,true,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n4,Head
430,430,kill,Spanish,S,false,ulnar_side,Vertical,NA,Z_front,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n0,Vertical
431,431,laugh,Spanish,L,false,finger_fronts,NA,Hand,Z_front,straight,true,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Hand
432,432,leaf,Spanish,5,false,heel,NA,Hand,UNDEF,UNDEF,true,false,true,true,UNDEF,right,UNDEF,L_nb,false,UNDEF,tip,X_right,arc,false,false,true,y4,Hand
433,433,lie,Spanish,1,false,radial_side,NA,Head,UNDEF,UNDEF,true,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Head
